Date,AAPL,AMZN
2013-12-31,17.90683364868164,398.7900085449219
2014-01-02,17.655000686645508,397.9700012207031
2014-01-03,17.267194747924805,396.44000244140625
2014-01-06,17.361351013183594,393.6300048828125
2014-01-07,17.237186431884766,398.0299987792969
2014-01-08,17.346355438232422,401.9200134277344
2014-01-09,17.124835968017578,401.010009765625
2014-01-10,17.01056671142578,397.6600036621094
2014-01-13,17.099620819091797,390.9800109863281
2014-01-14,17.439868927001953,397.5400085449219
2014-01-15,17.790016174316406,395.8699951171875
2014-01-16,17.690750122070312,395.79998779296875
2014-01-17,17.257293701171875,399.6099853515625
2014-01-21,17.525409698486328,407.04998779296875
2014-01-22,17.603290557861328,404.5400085449219
2014-01-23,17.752349853515625,399.8699951171875
2014-01-24,17.429658889770508,387.6000061035156
2014-01-27,17.5710506439209,386.2799987792969
2014-01-28,16.166645050048828,394.42999267578125
2014-01-29,15.98311710357666,384.20001220703125
2014-01-30,15.952156066894531,403.010009765625
2014-01-31,15.978328704833984,358.69000244140625
2014-02-03,16.008010864257812,346.1499938964844
2014-02-04,16.23973846435547,347.95001220703125
2014-02-05,16.36102867126465,346.45001220703125
2014-02-06,16.45639419555664,354.5899963378906
2014-02-07,16.68662452697754,361.0799865722656
2014-02-10,16.985557556152344,360.8699951171875
2014-02-11,17.209360122680664,361.7900085449219
2014-02-12,17.20807647705078,349.25
2014-02-13,17.4813289642334,357.20001220703125
2014-02-14,17.467201232910156,357.3500061035156
2014-02-18,17.53141975402832,353.6499938964844
2014-02-19,17.254636764526367,347.3800048828125
2014-02-20,17.054920196533203,349.79998779296875
2014-02-21,16.865467071533203,346.760009765625
2014-02-24,16.939319610595703,351.7799987792969
2014-02-25,16.763042449951172,358.32000732421875
2014-02-26,16.61180877685547,359.79998779296875
2014-02-27,16.943172454833984,360.1300048828125
2014-02-28,16.89725685119629,362.1000061035156
2014-03-03,16.946062088012695,359.7799987792969
2014-03-04,17.05780601501465,363.8999938964844
2014-03-05,17.093767166137695,372.3699951171875
2014-03-06,17.042068481445312,372.1600036621094
2014-03-07,17.032114028930664,372.05999755859375
2014-03-10,17.047529220581055,370.5299987792969
2014-03-11,17.21353530883789,368.82000732421875
2014-03-12,17.2302303314209,370.6400146484375
2014-03-13,17.038860321044922,371.510009765625
2014-03-14,16.84749412536621,373.739990234375
2014-03-17,16.913314819335938,375.0400085449219
2014-03-18,17.062942504882812,378.7699890136719
2014-03-19,17.05845069885254,373.2300109863281
2014-03-20,16.97625160217285,368.9700012207031
2014-03-21,17.110137939453125,360.6199951171875
2014-03-24,17.313072204589844,351.8500061035156
2014-03-25,17.49930763244629,354.7099914550781
2014-03-26,17.332014083862305,343.4100036621094
2014-03-27,17.25752830505371,338.4700012207031
2014-03-28,17.238264083862305,338.2900085449219
2014-03-31,17.234411239624023,336.3699951171875
2014-04-01,17.392065048217773,342.989990234375
2014-04-02,17.420961380004883,341.9599914550781
2014-04-03,17.300228118896484,333.6199951171875
2014-04-04,17.076431274414062,323.0
2014-04-07,16.808319091796875,317.760009765625
2014-04-08,16.807353973388672,327.07000732421875
2014-04-09,17.028268814086914,331.80999755859375
2014-04-10,16.808635711669922,317.1099853515625
2014-04-11,16.68437385559082,311.7300109863281
2014-04-14,16.75084114074707,315.9100036621094
2014-04-15,16.63139533996582,316.0799865722656
2014-04-16,16.66510772705078,323.67999267578125
2014-04-17,16.855518341064453,324.9100036621094
2014-04-21,17.055557250976562,330.8699951171875
2014-04-22,17.07257843017578,329.32000732421875
2014-04-23,16.84941291809082,324.5799865722656
2014-04-24,18.230758666992188,337.1499938964844
2014-04-25,18.364656448364258,303.8299865722656
2014-04-28,19.075881958007812,296.5799865722656
2014-04-29,19.019367218017578,300.3800048828125
2014-04-30,18.947444915771484,304.1300048828125
2014-05-01,18.992082595825195,307.8900146484375
2014-05-02,19.027393341064453,308.010009765625
2014-05-05,19.296470642089844,310.04998779296875
2014-05-06,19.08616065979004,297.3800048828125
2014-05-07,19.019367218017578,292.7099914550781
2014-05-08,18.98546600341797,288.32000732421875
2014-05-09,18.906356811523438,292.239990234375
2014-05-12,19.141746520996094,302.8599853515625
2014-05-13,19.171772003173828,304.6400146484375
2014-05-14,19.175321578979492,297.6199951171875
2014-05-15,19.01226043701172,295.19000244140625
2014-05-16,19.29286003112793,297.70001220703125
2014-05-19,19.521465301513672,296.760009765625
2014-05-20,19.52532958984375,301.19000244140625
2014-05-21,19.576995849609375,305.010009765625
2014-05-22,19.607990264892578,304.9100036621094
2014-05-23,19.82949447631836,312.239990234375
2014-05-27,20.200815200805664,310.82000732421875
2014-05-28,20.14850616455078,310.1600036621094
2014-05-29,20.5156307220459,313.7799987792969
2014-05-30,20.438785552978516,312.54998779296875
2014-06-02,20.298330307006836,308.8399963378906
2014-06-03,20.585372924804688,307.19000244140625
2014-06-04,20.8204402923584,306.7799987792969
2014-06-05,20.902132034301758,323.57000732421875
2014-06-06,20.84465217590332,329.6700134277344
2014-06-09,21.178194046020508,327.5
2014-06-10,21.30250358581543,332.4100036621094
2014-06-11,21.214357376098633,335.20001220703125
2014-06-12,20.859508514404297,325.9100036621094
2014-06-13,20.631223678588867,326.2699890136719
2014-06-16,20.839160919189453,327.6199951171875
2014-06-17,20.812040328979492,325.6199951171875
2014-06-18,20.834646224975586,334.3800048828125
2014-06-19,20.762317657470703,327.0
2014-06-20,20.54759979248047,324.20001220703125
2014-06-23,20.529516220092773,327.239990234375
2014-06-24,20.405200958251953,324.1600036621094
2014-06-25,20.423282623291016,327.44000244140625
